localword,tweetid,type
art prize_1,"[[777605247472640001, 778594537300262912, 778657031960035333, 778938702588481536]]",topic 2
artprize2016_0,"[[777502671813144576, 778706095963373568, 778787043963011072, 779054287339085830, 779113974398869504]]",topic 2
artprize2016_0,"[[777502671813144576, 778706095963373568, 778787043963011072, 779054287339085830, 779113974398869504]]",topic 3
artprize8_0,"[[777762855567368192, 777931713984868352, 777956100377370628, 777965592145985536, 778023092669022208, 778254653330972672, 778337994570805248, 778380390667026432, 778598768136560640, 778640017484877826, 778650300315996160, 778699721086939141, 778713864602984452, 778751397793701888, 779000508153409536, 779028923845844992, 779060138103701505, 779082812066365441]]",topic 3
artprize8_0,"[[777762855567368192, 777931713984868352, 777956100377370628, 777965592145985536, 778023092669022208, 778254653330972672, 778337994570805248, 778380390667026432, 778598768136560640, 778640017484877826, 778650300315996160, 778699721086939141, 778713864602984452, 778751397793701888, 779000508153409536, 779028923845844992, 779060138103701505, 779082812066365441]]",topic 2
artprize_1,"[[777626776604409856, 778414102213431297, 778628084459270146, 778677350191869953, 778735793737129985, 778741594904141824, 778750554537336832, 778922127063941120, 779069124936867841, 779109299960229888, 779113974398869504]]",topic 3
artprize_1,"[[777626776604409856, 778414102213431297, 778628084459270146, 778677350191869953, 778735793737129985, 778741594904141824, 778750554537336832, 778922127063941120, 779069124936867841, 779109299960229888, 779113974398869504]]",topic 2
ashe supply co_0,"[[777916161434324993, 777929106210058240]]",topic 34
ashe supply co_0,"[[777916161434324993, 777929106210058240]]",topic 33
aspens_2,"[[777577275730427904, 777743604219600896]]",topic 81
aspens_2,"[[777577275730427904, 777743604219600896]]",topic 82
asseenincolumbus_3,"[[777641338577846273, 777655287822094336, 777658754452058112, 777679858159722497, 777834608171692032, 778223249528385538, 778308527693717504, 778318508765642756, 778319907998015489, 778368972433592320, 778405767430889472, 778472864433537024, 778609663868825600, 778926383229575168, 779034149109829632, 779124887147249664, 779156875308855296, 779167235717947392]]",topic 61
asseenincolumbus_3,"[[777641338577846273, 777655287822094336, 777658754452058112, 777679858159722497, 777834608171692032, 778223249528385538, 778308527693717504, 778318508765642756, 778319907998015489, 778368972433592320, 778405767430889472, 778472864433537024, 778609663868825600, 778926383229575168, 779034149109829632, 779124887147249664, 779156875308855296, 779167235717947392]]",topic 58
astrocreep_0,"[[777671223128035328, 778075229679591424, 778625753499992065]]",topic 58
astrocreep_0,"[[777671223128035328, 778075229679591424, 778625753499992065]]",topic 61
atandt park_0,"[[777378225294970880, 777615038454632454, 777625730402414592, 777628223773421568, 777628524823752704, 777630606419226625, 777633319987142656, 777653345095970816, 777664562837360640, 777666874494648321, 777668803371077632, 777676444239405056, 777679815507750912, 777690028919193600, 777693288761585664, 777364567697477633, 777367802739101696, 777726174550253568, 778383837571133441, 778442917690036224, 778796188191555584, 778796936920825856, 778828905834618880, 778830426378993664, 778843242838327296, 778844772949757952, 778845993957781504, 778859463046369280, 779087088180273152, 779088692782653445, 778809699374247936]]",topic 36
